perfil_id,authority_name
6,ACTUALIZAR_DOCUMENTO_PRIVILEGE
6,VISUALIZAR_FICHA_INGRESO_PRIVILEGE
6,VISUALIZAR_DASHBOARD_PRIVILEGE
6,ASIGNAR_TIPO_A_PROVIDENCIA_PRIVILEGE
6,VISUALIZAR_ADJUNTO_PRIVILEGE
6,CREAR_PERFIL_PRIVILEGE
6,ADJUNTAR_ADJUNTO_PRIVILEGE
6,DERIVAR_PROVIDENCIA_PRIVILEGE
6,EDITAR_INVESTIGACION_PRIVILEGE
6,VISUALIZAR_GRUPO_PRIVILEGE
6,ELIMINAR_ADJUNTO_PRIVILEGE
6,CREAR_PROVIDENCIA_PRIVILEGE
6,CREAR_GRUPO_PRIVILEGE
6,CREAR_USUARIO_PRIVILEGE
6,VISUALIZAR_PERFIL_PRIVILEGE
6,VISUALIZAR_SUMARIO_PRIVILEGE
6,EDITAR_PLANTILLA_PRIVILEGE
6,CREAR_PLANTILLA_PRIVILEGE
6,EDITAR_GRUPO_PRIVILEGE
6,ELIMINAR_USUARIO_PRIVILEGE
6,EDITAR_PERFIL_PRIVILEGE
6,ELIMINAR_PERFIL_PRIVILEGE
6,VISUALIZAR_DOCUMENTO_PRIVILEGE
7,EDITAR_USUARIO_PRIVILEGE
7,VISUALIZAR_PROCEDIMIENTOS_PRIVILEGE
7,ELIMINAR_GRUPO_PRIVILEGE
7,DESCARGAR_ADJUNTO_PRIVILEGE
7,ELIMINAR_PLANTILLA_PRIVILEGE
7,ADJUNTAR_DOCUMENTO_PRIVILEGE
7,CREAR_FICHA_INGRESO_PRIVILAGE
7,VISUALIZAR_NOTIFICACION_PRIVILEGE
7,VISUALIZAR_USUARIO_PRIVILEGE
7,EDITAR_PROVIDENCIA_PRIVILEGE
7,ELIMINAR_DOCUMENTO_PRIVILEGE
7,VISUALIZAR_PLANTILLA_PRIVILEGE
7,DESCARGAR_DOCUMENTO_PRIVILEGE
7,VISUALIZAR_PROVIDENCIA_PRIVILEGE
7,VISUALIZAR_INVESTIGACION_PRIVILEGE
7,VISUALIZAR_MENU_USUARIO_PRIVILAGE
7,ACTUALIZAR_ADJUNTO_PRIVILEGE
7,ACTUALIZAR_DOCUMENTO_PRIVILEGE
7,VISUALIZAR_FICHA_INGRESO_PRIVILEGE
7,VISUALIZAR_DASHBOARD_PRIVILEGE
7,ASIGNAR_TIPO_A_PROVIDENCIA_PRIVILEGE
7,VISUALIZAR_ADJUNTO_PRIVILEGE
7,CREAR_PERFIL_PRIVILEGE
7,ADJUNTAR_ADJUNTO_PRIVILEGE
7,DERIVAR_PROVIDENCIA_PRIVILEGE
7,EDITAR_INVESTIGACION_PRIVILEGE
7,VISUALIZAR_GRUPO_PRIVILEGE
7,ELIMINAR_ADJUNTO_PRIVILEGE
7,CREAR_PROVIDENCIA_PRIVILEGE
7,CREAR_GRUPO_PRIVILEGE
7,CREAR_USUARIO_PRIVILEGE
7,VISUALIZAR_PERFIL_PRIVILEGE
7,VISUALIZAR_SUMARIO_PRIVILEGE
7,EDITAR_PLANTILLA_PRIVILEGE
7,CREAR_PLANTILLA_PRIVILEGE
7,EDITAR_GRUPO_PRIVILEGE
7,ELIMINAR_USUARIO_PRIVILEGE
7,EDITAR_PERFIL_PRIVILEGE
7,ELIMINAR_PERFIL_PRIVILEGE
7,VISUALIZAR_DOCUMENTO_PRIVILEGE
8,EDITAR_USUARIO_PRIVILEGE
8,VISUALIZAR_PROCEDIMIENTOS_PRIVILEGE
8,ELIMINAR_GRUPO_PRIVILEGE
8,DESCARGAR_ADJUNTO_PRIVILEGE
8,ELIMINAR_PLANTILLA_PRIVILEGE
8,ADJUNTAR_DOCUMENTO_PRIVILEGE
8,CREAR_FICHA_INGRESO_PRIVILAGE
8,VISUALIZAR_NOTIFICACION_PRIVILEGE
8,VISUALIZAR_USUARIO_PRIVILEGE
8,EDITAR_PROVIDENCIA_PRIVILEGE
8,ELIMINAR_DOCUMENTO_PRIVILEGE
8,VISUALIZAR_PLANTILLA_PRIVILEGE
8,DESCARGAR_DOCUMENTO_PRIVILEGE
8,VISUALIZAR_PROVIDENCIA_PRIVILEGE
8,VISUALIZAR_INVESTIGACION_PRIVILEGE
8,VISUALIZAR_MENU_USUARIO_PRIVILAGE
8,ACTUALIZAR_ADJUNTO_PRIVILEGE
8,ACTUALIZAR_DOCUMENTO_PRIVILEGE
8,VISUALIZAR_FICHA_INGRESO_PRIVILEGE
8,VISUALIZAR_DASHBOARD_PRIVILEGE
8,ASIGNAR_TIPO_A_PROVIDENCIA_PRIVILEGE
8,VISUALIZAR_ADJUNTO_PRIVILEGE
8,CREAR_PERFIL_PRIVILEGE
8,ADJUNTAR_ADJUNTO_PRIVILEGE
8,DERIVAR_PROVIDENCIA_PRIVILEGE
8,EDITAR_INVESTIGACION_PRIVILEGE
8,VISUALIZAR_GRUPO_PRIVILEGE
8,ELIMINAR_ADJUNTO_PRIVILEGE
8,CREAR_PROVIDENCIA_PRIVILEGE
8,CREAR_GRUPO_PRIVILEGE
8,CREAR_USUARIO_PRIVILEGE
8,VISUALIZAR_PERFIL_PRIVILEGE
8,VISUALIZAR_SUMARIO_PRIVILEGE
8,EDITAR_PLANTILLA_PRIVILEGE
8,CREAR_PLANTILLA_PRIVILEGE
8,EDITAR_GRUPO_PRIVILEGE
8,ELIMINAR_USUARIO_PRIVILEGE
8,EDITAR_PERFIL_PRIVILEGE
8,ELIMINAR_PERFIL_PRIVILEGE
8,VISUALIZAR_DOCUMENTO_PRIVILEGE
